#T(K), mu, sigma_1_2, error en sigma_1_2
300.0 -2.0 1.225487753314807e-18 2.2996376183962574e-18
300.0 -1.98 6.751260946753855e-19 1.2668795869608183e-18
300.0 -1.96 3.3994031437754614e-19 6.379008512484581e-19
300.0 -1.94 1.6350617434296892e-19 3.068209200841469e-19
300.0 -1.92 7.692063590401181e-20 1.4434278179699048e-19
300.0 -1.9 3.581021915577215e-20 6.719944613435967e-20
300.0 -1.88 1.6589454715728976e-20 3.113302527049826e-20
300.0 -1.8599999999999999 7.666027727038785e-21 1.4391389354200327e-20
300.0 -1.84 3.534745616244835e-21 6.646042037394114e-21
300.0 -1.82 1.620283230350416e-21 3.068790404804013e-21
300.0 -1.8 7.235039387237422e-22 1.419037141633488e-21
300.0 -1.78 2.8145873642355224e-22 6.611951735014892e-22
300.0 -1.76 1.6365889811923297e-23 3.190693874258606e-22
300.0 -1.74 -2.3843998185882037e-22 5.928975012936068e-22
300.0 -1.72 -6.431710581281508e-22 1.268044803485772e-21
300.0 -1.7 -1.4522385131544035e-21 2.74037757743575e-21
300.0 -1.68 -3.173886047613936e-21 5.9347669717898826e-21
300.0 -1.66 -6.888132734297106e-21 1.2855081558936768e-20
300.0 -1.6400000000000001 -1.4918065940153755e-20 2.782962703674809e-20
300.0 -1.62 -3.225372727175368e-20 6.016400859007495e-20
300.0 -1.6 -6.951771972055136e-20 1.2967142081927517e-19
300.0 -1.58 -1.4885187674489357e-19 2.7765233769982376e-19
300.0 -1.56 -3.142815987764155e-19 5.8622670961925185e-19
300.0 -1.54 -6.442712469969733e-19 1.2017532832647446e-18
300.0 -1.52 -1.243796361197193e-18 2.320041917893628e-18
300.0 -1.5 -2.141831207510626e-18 3.9951380231243685e-18
300.0 -1.48 -3.0410135972498662e-18 5.6723746391335195e-18
300.0 -1.46 -3.3002116553267555e-18 6.155854384097377e-18
300.0 -1.44 -2.6797654226348064e-18 4.998541743014731e-18
300.0 -1.42 -1.7140087115188582e-18 3.1971246496177514e-18
300.0 -1.4 -9.380629054478534e-19 1.7497600869579195e-18
300.0 -1.38 -4.707050436610344e-19 8.780017698064683e-19
300.0 -1.3599999999999999 -2.260179495912465e-19 4.215891772775143e-19
300.0 -1.3399999999999999 -1.0624348883729452e-19 1.9817495522191396e-19
300.0 -1.3199999999999998 -4.944345465970489e-20 9.222632216084645e-20
300.0 -1.2999999999999998 -2.2902766796763815e-20 4.272010718760027e-20
300.0 -1.28 -1.0586019672154832e-20 1.9745544051607755e-20
300.0 -1.26 -4.8884391101344405e-21 9.117361451822018e-21
300.0 -1.24 -2.257023292415721e-21 4.2078394363587505e-21
300.0 -1.22 -1.0433134214095882e-21 1.941389486119534e-21
300.0 -1.2 -4.853763028480328e-22 8.951947012111639e-22
300.0 -1.18 -2.326153991303098e-22 4.1184434312229847e-22
300.0 -1.1600000000000001 -1.2613043951608453e-22 2.1726155438752097e-22
300.0 -1.1400000000000001 -9.896540737171777e-23 1.7046938326366793e-22
300.0 -1.12 -1.3403704659819425e-22 2.3088080243194697e-22
300.0 -1.1 -2.5339391345850583e-22 4.505316215860249e-22
300.0 -1.08 -5.320590655465239e-22 9.78890082276404e-22
300.0 -1.06 -1.145093026666812e-21 2.1224209270082147e-21
300.0 -1.04 -2.4771280964059058e-21 4.598610376234496e-21
300.0 -1.02 -5.361629431237935e-21 9.956837625322107e-21
300.0 -1.0 -1.1592732869986824e-20 2.1529882797683244e-20
300.0 -0.98 -2.4996173454436712e-20 4.6423301188902593e-20
300.0 -0.96 -5.357087385163702e-20 9.949302659418967e-20
300.0 -0.94 -1.1332936067425059e-19 2.104779743047111e-19
300.0 -0.9199999999999999 -2.3327195062847304e-19 4.3323826055228393e-19
300.0 -0.8999999999999999 -4.540208646345163e-19 8.432184654170316e-19
300.0 -0.8799999999999999 -7.935792750613353e-19 1.4738545202443423e-18
300.0 -0.8599999999999999 -1.153589682397679e-18 2.1424745132915317e-18
300.0 -0.8400000000000001 -1.2895572488534744e-18 2.3949967502918493e-18
300.0 -0.8200000000000001 -1.0770826527885187e-18 2.000383818502776e-18
300.0 -0.8 -7.032412782556328e-19 1.3060766227788872e-18
300.0 -0.78 -3.896330373489737e-19 7.23635852005252e-19
300.0 -0.76 -1.9677967745029415e-19 3.6546395172071747e-19
300.0 -0.74 -9.478852371670471e-20 1.7604352697542393e-19
300.0 -0.72 -4.462437697230181e-20 8.287746663066283e-20
300.0 -0.7 -2.0781926859934514e-20 3.8596694603171094e-20
300.0 -0.6799999999999999 -9.629554101458026e-21 1.7884239576234387e-20
300.0 -0.6599999999999999 -4.45153273589473e-21 8.267493706500185e-21
300.0 -0.6399999999999999 -2.055619333709548e-21 3.817745687315384e-21
300.0 -0.6199999999999999 -9.487649302160446e-22 1.7620690568579482e-21
300.0 -0.5999999999999999 -4.377985323653955e-22 8.130899682846053e-22
300.0 -0.5800000000000001 -2.0199644116542386e-22 3.7515265081731317e-22
300.0 -0.56 -9.319482339168358e-23 1.7308366838610626e-22
300.0 -0.54 -4.299619396210379e-23 7.985356596827729e-23
300.0 -0.52 -1.9836438203536013e-23 3.684071032115329e-23
300.0 -0.5 -9.151563084402709e-24 1.699650315883858e-23
300.0 -0.48 -4.2220745241911424e-24 7.841338395823993e-24
300.0 -0.45999999999999996 -1.9478524929318097e-24 3.617598520106549e-24
300.0 -0.43999999999999995 -8.986405870429778e-25 1.6689769260540875e-24
300.0 -0.41999999999999993 -4.145872051319207e-25 7.6998134453847625e-25
300.0 -0.3999999999999999 -1.9126948943435162e-25 3.5523032328689156e-25
