# Written by the BoltzWann module of the Wannier90 code.
# The first column.
# The second column is the DOS for a fixed smearing of   0.300000E-01 eV.
# Cell volume (ang^3):     40.3295    
# Energy(eV) DOS [DOS DOS ...]
   -10.68788784      0.4218750425    
   -10.67788784      0.4158792727    
   -10.66788784      0.4127775445    
   -10.65788784      0.4090378707    
   -10.64788784      0.4045083501    
   -10.63788784      0.4028622380    
   -10.62788784      0.4075215795    
   -10.61788784      0.4176198797    
   -10.60788784      0.4287072858    
   -10.59788784      0.4374573503    
   -10.58788784      0.4450630688    
   -10.57788784      0.4554758778    
   -10.56788784      0.4703196306    
   -10.55788784      0.4857864177    
   -10.54788784      0.4945999241    
   -10.53788784      0.4913706767    
   -10.52788784      0.4771113794    
   -10.51788784      0.4593231541    
   -10.50788784      0.4470032564    
   -10.49788784      0.4441823064    
   -10.48788784      0.4476993146    
   -10.47788784      0.4512456923    
   -10.46788784      0.4513472759    
   -10.45788784      0.4494296845    
   -10.44788784      0.4491503177    
   -10.43788784      0.4532933102    
   -10.42788784      0.4634429737    
   -10.41788784      0.4805914715    
   -10.40788784      0.5037902183    
   -10.39788784      0.5284234466    
   -10.38788784      0.5476245679    
   -10.37788784      0.5560598877    
   -10.36788784      0.5521226747    
   -10.35788784      0.5374601803    
   -10.34788784      0.5160167003    
   -10.33788784      0.4934606237    
   -10.32788784      0.4757296089    
   -10.31788784      0.4665100226    
   -10.30788784      0.4655021774    
   -10.29788784      0.4693185080    
   -10.28788784      0.4750182712    
   -10.27788784      0.4835475186    
   -10.26788784      0.4991247317    
   -10.25788784      0.5241331026    
   -10.24788784      0.5545854664    
   -10.23788784      0.5813161375    
   -10.22788784      0.5960444859    
   -10.21788784      0.5967548634    
   -10.20788784      0.5881909598    
   -10.19788784      0.5778029867    
   -10.18788784      0.5704375106    
   -10.17788784      0.5652863225    
   -10.16788784      0.5572454822    
   -10.15788784      0.5420600073    
   -10.14788784      0.5213121842    
   -10.13788784      0.5027317874    
   -10.12788784      0.4951347353    
   -10.11788784      0.5023755850    
   -10.10788784      0.5218286417    
   -10.09788784      0.5481513637    
   -10.08788784      0.5772951162    
   -10.07788784      0.6063255532    
   -10.06788784      0.6308935179    
   -10.05788784      0.6451825665    
   -10.04788784      0.6453222782    
   -10.03788784      0.6329956061    
   -10.02788784      0.6159906024    
   -10.01788784      0.6045249307    
   -10.00788784      0.6045933588    
   -9.997887843      0.6128855882    
   -9.987887843      0.6187216880    
   -9.977887843      0.6128211861    
   -9.967887843      0.5952115171    
   -9.957887843      0.5749259716    
   -9.947887843      0.5625858049    
   -9.937887843      0.5633408254    
   -9.927887843      0.5757780335    
   -9.917887843      0.5959750980    
   -9.907887843      0.6211969275    
   -9.897887843      0.6490121564    
   -9.887887843      0.6743034678    
   -9.877887843      0.6903774529    
   -9.867887843      0.6945488781    
   -9.857887843      0.6912622104    
   -9.847887843      0.6884885049    
   -9.837887843      0.6914193390    
   -9.827887843      0.6993105214    
   -9.817887843      0.7065627176    
   -9.807887843      0.7061582589    
   -9.797887843      0.6940454443    
   -9.787887843      0.6725546304    
   -9.777887843      0.6497198358    
   -9.767887843      0.6340181323    
   -9.757887843      0.6293884965    
   -9.747887843      0.6356475356    
   -9.737887843      0.6525860500    
   -9.727887843      0.6813676207    
   -9.717887843      0.7210560610    
   -9.707887843      0.7650768443    
   -9.697887843      0.8031132592    
   -9.687887843      0.8276853714    
   -9.677887843      0.8388110634    
   -9.667887843      0.8422459517    
   -9.657887843      0.8443072469    
   -9.647887843      0.8486499402    
   -9.637887843      0.8556944388    
   -9.627887843      0.8627162142    
   -9.617887843      0.8647036714    
   -9.607887843      0.8567869356    
   -9.597887843      0.8370705686    
   -9.587887843      0.8084033540    
   -9.577887843      0.7789183080    
   -9.567887843      0.7608878020    
   -9.557887843      0.7665368608    
   -9.547887843      0.8014347801    
   -9.537887843      0.8598555081    
   -9.527887843      0.9263213855    
   -9.517887843      0.9822276367    
   -9.507887843       1.012818723    
   -9.497887843       1.011714164    
   -9.487887843      0.9825543407    
   -9.477887843      0.9369832749    
   -9.467887843      0.8889695998    
   -9.457887843      0.8483596873    
   -9.447887843      0.8174177836    
   -9.437887843      0.7920257702    
   -9.427887843      0.7667288465    
   -9.417887843      0.7407394511    
   -9.407887843      0.7207881990    
