# Written by the BoltzWann module of the Wannier90 code.
# [Electrical conductivity in SI units, i.e. in 1/Ohm/m]
# Mu(eV) Temp(K) ElCond_xx ElCond_xy ElCond_yy ElCond_xz ElCond_yz ElCond_zz
  -2.000000000       100.0000000       1009221.502       13827.44316       1013778.931      -5408.146782      -5975.583118       999313.1200    
  -2.000000000       105.0000000       1007243.208       13426.27247       1011791.855      -4557.378112      -5246.643634       998230.0521    
  -2.000000000       110.0000000       1005384.364       13020.97825       1009873.979      -3774.350546      -4577.634231       997175.2917    
  -2.000000000       115.0000000       1003646.342       12616.51003       1008037.568      -3058.250869      -3963.546561       996160.0250    
  -2.000000000       120.0000000       1002029.354       12216.61858       1006291.996      -2407.307489      -3400.059039       995193.0842    
  -2.000000000       125.0000000       1000532.524       11824.08309       1004644.045      -1819.023208      -2883.374361       994281.2206    
  -2.000000000       130.0000000       999154.0305       11440.90690       1003098.237      -1290.379059      -2410.099529       993429.3858    
  -2.000000000       135.0000000       997891.2592       11068.48201       1001657.170      -818.0064651      -1977.158307       992641.0010    
  -2.000000000       140.0000000       996740.9673       10707.72454       1000321.841      -398.3285198      -1581.727958       991918.2044    
  -2.000000000       145.0000000       995699.4296       10359.18456       999091.9335      -27.67306412      -1221.193837       991262.0710    
  -2.000000000       150.0000000       994762.5676       10023.13395       997966.0717       297.6389704      -893.1169615       990672.8047    
  -2.000000000       155.0000000       993926.0603       9699.636030       996942.0460       581.2262586      -595.2108846       990149.9049    
  -2.000000000       160.0000000       993185.4364       9388.600010       996017.0019       826.5972874      -325.3251428       989692.3076    
  -2.000000000       165.0000000       992536.1491       9089.823377       995187.6005       1037.114859      -81.43329985       989298.5056    
  -2.000000000       170.0000000       991973.6370       8803.024477       994450.1525       1215.972087       138.3758576       988966.6487    
  -2.000000000       175.0000000       991493.3720       8527.867417       993800.7288       1366.177486       335.9050039       988694.6285    
  -2.000000000       180.0000000       991090.8964       8263.980905       993235.2517       1490.547157       512.8535677       988480.1472    
  -2.000000000       185.0000000       990761.8514       8010.972386       992749.5673       1591.702411       670.8221457       988320.7760    
  -2.000000000       190.0000000       990501.9983       7768.438529       992339.5050       1672.071492       811.3163852       988214.0018    
  -2.000000000       195.0000000       990307.2339       7535.972926       992000.9239       1733.894313       935.7505726       988157.2656    
  -2.000000000       200.0000000       990173.6009       7313.171652       991729.7488       1779.229348       1045.451076       988147.9940    
  -2.000000000       205.0000000       990097.2949       7099.637213       991521.9985       1809.961997       1141.659736       988183.6236    
  -2.000000000       210.0000000       990074.6676       6894.981286       991373.8063       1827.813887       1225.537257       988261.6214    
  -2.000000000       215.0000000       990102.2287       6698.826544       991281.4352       1834.352714       1298.166623       988379.5002    
  -2.000000000       220.0000000       990176.6451       6510.807818       991241.2884       1831.002291       1360.556540       988534.8305    
  -2.000000000       225.0000000       990294.7390       6330.572769       991249.9158       1819.052588       1413.644898       988725.2499    
  -2.000000000       230.0000000       990453.4850       6157.782199       991304.0182       1799.669571       1458.302246       988948.4699    
  -2.000000000       235.0000000       990650.0061       5992.110110       991400.4478       1773.904732       1495.335253       989202.2805    
  -2.000000000       240.0000000       990881.5697       5833.243595       991536.2086       1742.704210       1525.490137       989484.5539    
  -2.000000000       245.0000000       991145.5825       5680.882587       991708.4533       1706.917453       1549.456053       989793.2459    
  -2.000000000       250.0000000       991439.5857       5534.739551       991914.4813       1667.305392       1567.868406       990126.3971    
  -2.000000000       255.0000000       991761.2496       5394.539103       992151.7335       1624.548094       1581.312094       990482.1328    
  -2.000000000       260.0000000       992108.3686       5260.017614       992417.7888       1579.251912       1590.324640       990858.6625    
  -2.000000000       265.0000000       992478.8559       5130.922792       992710.3584       1531.956127       1595.399240       991254.2787    
  -2.000000000       270.0000000       992870.7381       5007.013265       993027.2811       1483.139091       1596.987673       991667.3551    
  -2.000000000       275.0000000       993282.1505       4888.058162       993366.5171       1433.223910       1595.503107       992096.3449    
  -2.000000000       280.0000000       993711.3318       4773.836705       993726.1435       1382.583663       1591.322771       992539.7786    
  -2.000000000       285.0000000       994156.6192       4664.137809       994104.3482       1331.546204       1584.790500       992996.2616    
  -2.000000000       290.0000000       994616.4441       4558.759699       994499.4246       1280.398562       1576.219149       993464.4718    
  -2.000000000       295.0000000       995089.3270       4457.509531       994909.7665       1229.390960       1565.892880       993943.1570    
  -2.000000000       300.0000000       995573.8737       4360.203041       995333.8629       1178.740497       1554.069316       994431.1323    
  -2.000000000       305.0000000       996068.7708       4266.664189       995770.2931       1128.634492       1540.981571       994927.2777    
  -2.000000000       310.0000000       996572.7817       4176.724832       996217.7220       1079.233540       1526.840160       995430.5350    
  -2.000000000       315.0000000       997084.7425       4090.224400       996674.8952       1030.674288       1511.834783       995939.9058    
  -2.000000000       320.0000000       997603.5591       4007.009587       997140.6349       983.0719557       1496.135998       996454.4486    
  -2.000000000       325.0000000       998128.2027       3926.934050       997613.8360       936.5226199       1479.896783       996973.2765    
  -2.000000000       330.0000000       998657.7071       3849.858129       998093.4615       891.1052932       1463.253991       997495.5545    
  -2.000000000       335.0000000       999191.1653       3775.648562       998578.5392       846.8837990       1446.329703       998020.4973    
  -2.000000000       340.0000000       999727.7262       3704.178221       999068.1579       803.9084708       1429.232489       998547.3674    
  -2.000000000       345.0000000       1000266.592       3635.325856       999561.4643       762.2176876       1412.058576       999075.4719    
  -2.000000000       350.0000000       1000807.016       3568.975841       1000057.659       721.8392599       1394.892926       999604.1616    
  -2.000000000       355.0000000       1001348.299       3505.017941       1000555.995       682.7916806       1377.810242       1000132.828    
